 개미네 집 주소는?| 허리도 가늘군 만지면 부러지리.
 중학생과 고등학생이 타는 차는?| 중고차
 왕이 넘어지면 뭐가될까?| 킹콩
 초등학생이 가장 좋아하는 동네는?| 방학동
 스타들이 싸우는 모습을 뭐라고 할까?| 스타워즈
 라면은 라면인데 달콤한 라면은?| 그대와 함께라면
 겨울에 많이 쓰는 끈은?| 따끈따끈
 토끼들이 젤 잘 하는 것은 무엇일까?| 토끼기(도망치기)
 길가에서 죽은 사람을 무엇이라 하는가?| 도사
 진짜 문제투성이인 것은?| 시험지
 세 사람만 탈 수 있는 차는?| 인삼차
 폭력배가 많은 나라는?| 칠레
 올림픽 경기에서 권투를 잘하는 나라는?| 칠레
 싸움을 즐겨하는 나라는?| 칠레
 굶는 사람이 많은 나라는?| 헝가리(← hungry)
 경찰서가 가장 많이 불타는 나라는?| 불란서(← 불란 서)
 병신들만이 사는 나라는?| 네팔
 차도가 없는 나라는?| 인도
 세계에서 데모를 가장 많이 하는 나라는?| 우간다(←우긴다)
 노총각들이 가장 좋아하는 감은?| 색싯감
 먹고 살기 위해 하는 내기는?| 모내기
 아무리 예뻐도 미녀라고 못하는 이 사람은?| 미남
 사람이 일생동안 가장 많이 하는 소리는?| 숨소리
 가장 알찬 사업은?| 알(계란)장사
 눈이 녹으면 뭐가 될까?| 눈물
 가장 더러운 강은?| 요강
 귀는 귀인데 못 듣는 귀는?| 뼈다귀
 말은 말인데 타지 못하는 말은?| 거짓말
 사람이 먹을 수 있는 제비는?| 수제비
 세상에서 제일 큰 코는?| 멕시코
 수학을 한 글자로 줄이면?| 솩
 세상에서 가장 빠른 닭은?| 후다닥
 세상에서 가장 야한 닭은?| 홀닥
 닭은 닭인데 먹지 못하는 닭은?| 까닭
 가슴의 무게는?| 4근(두근 + 두근)
 간장은 간장인데 사람이 먹을 수 없는 간장은?| 애간장
 감은 감인데 먹지 못하는 감은?| 영감, 옷감, 대감, 상감
 개는 개인데 잡을 수 없는 개는?| 안개, 무지개
 병아리가 제일 잘 먹는 약은?| 삐약
 개 중에 가장 아름다운 개는?| 무지개
 걱정이 많은 사람이 오르는 산은?| 태산
 공(球) 중에서 사람들이 가장 좋아하는 공은?| 성공
 다리 중 아무도 보지 못한 다리는?| 헛다리
 누구나 즐겁게 웃으며 읽는 글은?| 싱글벙글
 눈은 눈인데 보지 못하는 눈은?| 티눈, 쌀눈
 다 자랐는데도 계속 자라라고 하는 것은?| 자라(鼈)
 떡 중에 가장 빨리 먹는 떡은?| 헐레벌떡
 똥은 똥인데 다른 곳으로 튀는 똥은?| 불똥
 똥의 성은?| 응가
 먹고 살기 위하여 누구나 한 가지씩 배워야 하는 술은?| 기술
 묵은 묵인데 먹지 못하는 묵은?| 침묵
 문은 문인데 닫지 못하는 문은?| 소문
 물고기 중에서 가장 학벌이 좋은 물고기는?| 고등어
 물은 물인데 사람들이 가장 무서워하는 물은?| 괴물
 물은 물인데 사람들이 가장 좋아하는 물은?| 선물
 바가지는 바가지인데 쓰지 못하는 바가지는?| 해골바가지
 󰡐지󰡑자로 끝나는 신체부위 중 배꼽 위에 있으며 5글자인 것은?|해골바가지
 바닷가에서는 해도 되는 욕은?| 해수욕
 발이 두 개 달린 소는?| 이발소
 배울 것 다 배워도 여전히 배우라는 말을 듣는 사람은?| 배우
 벌레 중 가장 빠른 벌레는?| 바퀴벌레(바퀴가 있으니까)
 별 중에 가장 슬픈 별은?| 이별
 사람들이 가장 싫어하는 (길)거리는?| 걱정거리
 사람이 즐겨 먹는 피는?| 커피
 사람이 즐겨 먹는 제비는?| 수제비
 아홉 명의 자식을 세자로 줄이면?| 아이구
 약은 약인데 아껴 먹어야 하는 약은?| 절약
 낭떠러지 나무에 매달려 있는 사람이 싸는 똥은?| 떨어질똥 말똥, 죽을똥 쌀똥
 오줌을 잘 싸는 사람은 오줌싸개, 그러면 빨리 싸는 사람은?| 잽싸게
 입방아를 찧어 만든 떡은?| 쑥떡쑥떡
 장사꾼들이 싫어하는 경기는?| 불경기
 전쟁 중에 장군이 가장 받고 싶어하는 복은?| 항복
 창으로 찌르려고 할 때 하는 말은?| 창피해!
 창피한 것도 모르고 체면도 없는 사람의 나이는?| 넉살
 책은 책인데 읽을 수 없는 책은?| 주책
 추운 겨울에 가장 많이 찾는 끈은?| 따끈따끈
 칼은 칼인데 전혀 들지 않는 칼은?| 머리칼
 탈 중에 쓰지 못하는 탈은?| 배탈
 파리 중에 가장 무거운 파리는?| 돌팔이
 파리 중에 날지 못하는 파리는?| 프랑스 파리, 해파리
 하늘에는 총이 두개 있고 땅에는 침이 두개 있다. 무엇인가?| 별총총, 어둠침침
 해에게 오빠가 있다. 누구인가?| 해오라비
 해의 성별은 남자인가 여자인가?| 여자(cf. 124번, 오빠가 있으니까)
 청소하는 여자를 세 자로 줄이면?| 청소년
 ‘코끼리 두 마리가 싸움을 하다가 코가 빠졌다.’를 네 자로 하면?| 끼리끼리
 가장 달콤한 술은?| 입술
 자동차 10대가 달리는 레일은?| 카텐레일
 ‘흥부가 자식을 20명 낳았다.’를 다섯 글자로 하면?| 흥부 힘 좋다.
 ‘태종태세 문단세…….’를 5자로 줄이면?| 왕입니다요
 오뎅을 다섯 글자로 늘이면?| 뎅뎅뎅뎅뎅(5뎅이니까)
 누룽지를 영어로 표현하면?| Bobby Brown(밥이 브라운)
 탤런트 최지우가 기르는 개 이름은?| 지우개
 특공대란?| 특별히 공부도 못하면서 대가리만 큰 아이
 호랑이는 영어로 Tiger이다. 그러면 이 빠진 호랑이는?| Tigr
 네오나르도 디카프리오의 뜻은?| 내 오늘 안에 빚갚으리오
 남이 먹어야 맛있는 것은?| 골탕
 본디 내 것인데 남이 쓰는 것은?| 이름
 못 팔고도 돈 번 사람은?| 철물점 주인
 가만히 있는데 잘 돈다고 하는 것은?| 머리
 아무리 멀리 가도 가까운 사람은?| 친척
 재수 없는데 재수 있다고 하는 것은?| 대입 낙방
 많이 맞을수록 좋은 것은?| 시험문제
 가면 좋은 사람은?| 가면장사
 이기고도 지는 것은?| 상품
 못사는 사람들이 하는 직업은?| 목수
 이상한 사람들이 모이는 곳은?| 치과
 빨간 길 위에 떨어진 동전을 4글자로 줄이면?| 홍길동전
 날마다 가슴에 흑심을 품고 있는 것은?| 연필
 피할 건 피하고, 알릴 건 알리는 것은?| P.R(public relations)
 인정도 없고, 눈물도 없는 몹쓸 아버지는?| 허수아비
 허수아비의 아들 이름은?| 허수
 풍뎅이 중에 가장 오래 사는 풍뎅이는?| 장수풍뎅이
 공중 화장실이란?| 비행기 안에 있는 화장실
 비행소녀는?| 스튜어디어스
 Head는 머리 Line은 선, 그러면 Headline은?| 가르마
 우리나라에서 도를 통한 스님이 가장 많은 절은?| 통도사
 칠을 칠하다 페인트 통을 엎질러 페인트를 뒤집어 쓴 사람은?| 칠칠맞은 사람
 비로써 인정을 받은 사람은 ?| 환경 미화원
 모범생이란?| 모든 것이 평범한 학생
 우등생이란?| 우겨서 등수를 올린 학생
 남녀평등이란?| 남자나 여자나 모두 등이 평평하다.
 현역 군인이 가장 좋아하는 대학은?| 제대(제주대학)
 ‘노발대발’이란?| 老足大足, 할아버지 발은 크다.
 ‘노발대발’이란?| 노태우 발은 큰 발. 왜냐
 언제나 말다툼이 있는 곳은?| 경마장
 양초가 가득 차 있는 상자를 3자로 줄이면?| 초만원
 슈퍼맨과 하늘을 같이 날고 있는 말은 무슨 말일까?| 슈퍼마리오
 억수 같은 폭우가 쏟아지는 곳은?| 비무장지대
 모든 소들이 밭에서 일하고 있는데 옆에서 놀고 있는 소는?|깜찍이 소다
 프랑스에 단 두 대 밖에 없는 사형 기구는?| 단 두 대
 ‘아름다운’은 영어로 ‘Beautiful’이다. 그러면 ‘티 없이 아름다운’은?| ‘Beauiful’
 김과 김밥이 길을 걷는데 비가오고 있었다. 김밥은 비에 풀어질까봐 열심히 뛰어왔지만 김은 느긋하게 걸어오고 있었다. 왜 그럴까?| ‘양반 김’이라서
 눈사람의 반대말은?| 일어선 사람
 송아지 엄마 = A, 머리 짧은 스님 = B, 남C + 북C = C국, 나 + D = 우리, ABCD는?| 소중한 너
 가위바위( ), 가갸거겨( ), 123456789( ), 가나( )답은?| 보고싶다
 천 냥 빚을 말로 갚은 사람은?| 말장수
 죽마고우란?| 죽치고 마주 앉아 고스톱 치는 친구
 소금장수가 좋아하는 사람은?| 싱거운 사람
 거지가 가장 좋아하는 욕은?| 빌어먹을
 계절에 관계없이 사시사철 피는 꽃은?| 웃음꽃
 남이 울 때 웃는 사람은?| 장의사
 도둑이 가장 좋아하는 아이스크림은?| 보석바
 도둑이 가장 싫어하는 아이스크림은?| 누가바
 이자 없이 꾸는 것은?| 꿈
 헌병이 가장 무서워하는 사람은?| 고물장수
 병든 자여 다 내게로 오라 이 말은 누가 했는가?| 엿장수
 소가 가장 무서워하는 말은?| 소피보러 간다
 먹을수록 덜덜 떨리는 음식은?| 추어탕
 직장에서 가장 무서운 상사는?| 불상사
 한국에서 가장 급하게 만든 떡은?| 헐레벌떡
 사군자란?| 공자, 맹자, 노자, 장자
 세상 사람들이 가장 좋아하는 영화는?| 부귀영화
 엿장수가 가장 싫어하는 쇠는?| 구두쇠(원래 고철로 엿을 바꾸었음)
 새 중에서 가장 빠른 새는?| 눈 깜짝할 새
 하늘에서 사는 개는?| 안개, 번개, 무지개
 원앙부부란?| 원한과 앙심이 많은 부부
 의사란?| 의리의 사나이
 개지랄이란?| 개성적이고 지성적이며 발랄한 성격의 소유자
 바보란?| 바라볼수록 보고 싶은 사람
 백설공주란?| 백방으로 설치고 다니는 공포의 주둥아리
 선구자란?| 선청성 구제불능 자기도취자
 천사란?| 천년 묵은 독사
 신사란?| 신이 포기한 사기꾼
 형사란?| 형편없는 사기꾼
 천재지변이란?| 천 번 봐도 재수없고 지금 봐도 변함없는 사람
 노약자란?| 노련하고 약삭빠른 사람
 지성인이란?| 지랄 같은 성격의 소유자
 우등생이란?| 우둔하고 등신 같은 생물
 진동이란?| 진기한 동물
 신동이란?| 신기한 동물
 귀빈이란?| 귀찮은 빈대
 영빈이란?| 영원한 빈대
 장희빈이란?| 장안에서 희귀한 빈대
 엉큼한 여자란?| 엉덩이만 큼직한 여자
 추녀란?| 가을 여자
 소녀란?| 소름 끼치는 여자
 미남이란?| 쌀집 남자
 추남이란?| 가을 남자
 유부남이란?| 아버지가 살아 계시는 남자
 또 다른 유부남이란?| 유사시 부를 수 있는 남자
 또또 다른 유부남이란?| 유난히 부담 없는 남자
 쾌남형이란?| 쾌쾌 묵은 남자
 개새끼란?| 개성과 세련미와 끼가 있는 남자
 호남형이란?| 호떡 같이 생긴 남자
 기형아란?| 기특하고 영리한 아이
 저능아란?| 저력 있고 능력 있는 아이
 경로석이란?| 경우에 따라 노인이 앉을 수 있는 자리
 마돈나란?| 마지막으로 돈 내고 나오는 사람
 영물이란?| 영원한 물주
 오물이란?| 오늘의 물주
 스타란?| 스스로 타락한 자
 긴긴 밤이 외로워 죽겠다는 아비는?| 홀아비
 돈벌이에 눈이 먼 아비는?| 장물아비
 플레이보이들이 가장 즐기는 장난감은?| 바람개비
 한국이 배출한 세계 최초의 여성 장군은?| 지하여장군
 바람을 피워서 얻은 자식의 이름은?| 풍자(風子)
 부인이 남편에게 매일같이 주는 상은?| 밥상
 아무도 믿을 수 없다는 사람이 가장 믿는 신은?| 자기 자신
 노처녀들이 가장 좋아하는 약은?| 혼약
 찾아오는 손님들 모두와 이상한 관계로 만날 수밖에 없는 의사는?|치과의사
 먹으면 죽는데 안 먹을 수 없는 것은?| 나이
 집에서 매일 먹는 약은?| 치약
 이 세상에 태어나 단 한 번만 먹고 입을 다물어 버리는 것은?|편지봉투
 IMF시대에 폭풍우보다 더 무서운 비는?| 낭비
 누구든지 노력하면 얻을 수 있는 금은?| 저금
 세계에서 몸집에 제일 큰 여자의 이름은?| 태평양
 세계적으로 알려진 세 여자는?| 태평양, 대서양, 인도양.
 물 중에서 가장 좋은 물은?| 선물
 물 없는 사막에서도 할 수 있는 물놀이는?| 사물놀이
 법적으로 바가지요금을 받아도 되는 장사는?| 바가지 장사
 도둑이 훔친 돈을 뭐라고 할까?| 슬그머니
 여자가 지켜야 할 도리는?| 아랫도리
 ‘아이 추워’의 반대말은?| 어른 더워
 세탁소 주인이 가장 좋아하는 차는?| 구기자차
 펭귄 한 마리를 넣고 끓인 탕은?| 설렁탕
 펭귄 두 마리를 넣고 끓인 탕은?| 추어탕
 세상에서 제일 더럽고 추잡스럽기 짝이 없는 개는?| 꼴불견
 유일하게 날로 먹을 수 있는 오리?| 회오리
 아수라 백작의 아들 이름은?| 아수라 장
 ‘술과 커피는 안 팝니다.’를 4자로 줄이면?| 주차(酒茶) 금지
 자전거를 ‘싸이클’이라고 합니다. 그럼 ‘자전거를 못 탄다.’는 말은?| 모타 싸이클
 종달새 수컷이 암놈을 부르는 방법은?| 지지배(배)
 ‘멍청한 바보가 오줌을 싼다.’를 세 자로 줄이면?| 쪼다쉬
 소는 소인데 도저히 무슨 소인지 알 수 없는 소를 4자로 줄이면?| 모르겠소
 처음 만나는 소가 하는 말은?| 반갑소
 잠자는 소는?| 주무소
 ‘미소’의 반대말은?| 당기소
 쥐가 네 마리 모이면 무엇이 될까?| 쥐포
 ‘당신은 시골에 삽니다.’를 세 자로 줄이면?| 유인촌(You in 촌)
 돌고래를 영어로 ‘돌핀’이다. 그럼 그냥 고래는 무엇이라 부를까?| 핀
 서울의 중심 1번지는 시청이다. 그렇다면 시청에서 가장 먼 곳은?| 만리동
 길거리에서 목탁을 두드리면서 행인들에게 시주를 받는 스님을 무슨 중이라고 할까?| 영업중
 IQ 30이 생각하는 산토끼의 반대말은?| 끼토산
 IQ 60이 생각하는 산토끼의 반대말은?| 집토끼
 IQ 80이 생각하는 산토끼의 반대말은?| 죽은 토끼
 IQ 100이 생각하는 산토끼의 반대말은?| 바다 토끼
 IQ 110이 생각하는 산토끼의 반대말은?| 판 토끼
 IQ 120이 생각하는 산토끼의 반대말은?| 알칼리 토끼
 꽃이 제일 좋아하는 벌은?| 재벌
 무엇이든지 혼자 다 해먹는 사람은?| 자취생
 우유를 여섯 글자로 늘이면?| 송아지 쭈쭈바
 소금을 죽이면?| 죽염
 말괄량이 삐삐를 일곱 자로 하면?| 말괄량이 호출기
 친구들과 술집에 가서, 술값 안 내려고 추는 춤은?| 주춤주춤
 슈퍼맨의 가슴에 ‘S’자는 무엇의 약자인가?| 스판
 ‘나는 1위, 2위, 3위보다 4위가 더 좋아!’는 누가 한 말일까요?| 장모
 고추장, 간장, 된장을 만들다 잘못하여 버렸다. 무슨 장일까?| 젠장
 호주의 술은?| 호주
 호주의 쌀은?| 호미(米)
 호주의 떡은?| 호떡
 호주의 돈은?| 호주머니(money)
 가장 쓸모없는 구리는?| 멍텅구리
 서울에 있는 대학은 무엇이라 하는가?| 서울대
 서울에서 약간 먼 대학은 무엇이라 하는가?| 서울약대
 서울에서 제법 먼 대학은 무엇이라 하는가?| 서울법대
 서울에서 상당히 먼 대학은 무엇이라 하는가?| 서울상대
 개미가 모이면 더러운 이유는?| 개미’때(떼)’이기 때문
 영웅호걸이 여자를 좋아하는 이유는?| 好(호)Girl이기 때문
 오락실을 지키는 수호신 용 두 마리는?| 일인용과 이인용
 백설공주가 일곱 난쟁이에게 밥상을 차려준 시간은 몇 분일까?| 7분(일곱 난쟁이)
 현모양처란 무엇인가?| 현저하게 히프 모양이 양쪽으로 처진 아가씨
 동문서답이란 무엇인가?| 동쪽 문을 닫으니까 서쪽 문이 답답하다
 개성미란 어떤 성미인가?| 개 같은 성미
 돌격대는 무엇인가?| 돌덩이를 격파시킨 대가리
 고바우란 누구인가?| 고스톱하다가 바가지 쓰고 우는 녀석
 클래식이란 무엇인가?| 오래 사귄 친구
 노선버스란 무엇인가?| 노총각, 노처녀가 맞선보러 갈 때 타고 간 버스
 이치과에는 어떤 사람이 찾아갈까?| 옳고 그른 것을 따지기 좋아하는 사람
 떼(때)돈을 벌려면?| 목욕탕을 차린다
 못 먹는 밥의 종류는 몇 가지일까?| 82가지 → 쉰밥(50)+서른밥(30)+톱밥(1)+눈치밥(1)
 두 가지를 합치면 80가지 밥이 되는 것은?| 쉰밥과 서른(설은)밥
 일일생활권이란?| 차가 막혀서 어디를 가나 하루 걸린다는 뜻
 보통 사람이란?| 보기만 해서는 통 알 수 없는 사람
 성인(聖人)과 성인(成人)의 차이는?| 석가모니가 집을 나가면 출가, 내가 나가면 가출
 전축을 틀면 흘러나오는 소리는?| 판소리
 ‘옷을 홀딱 벗은 남자의 그림’을 4글자로 줄이면?| 전라남도
 물고기의 반대말은?| 불고기
 노인들이 가장 좋아하는 폭포는?| 나이야가라 폭포
 하나님도 부처님도 다 싫어하는 비는?| 사이비
 세상에서 가장 황당한 미용실 이름은?| 버르장머리
 텔레토비가 차린 안경점 이름은?| 아이조아(eyejoa)
 공부도 못하면서 주접을 떠는 여자는?| 공주
 천재란 어떤 사람인가?| 천하에 재수 없는 녀석
 세균 중에서 제일 센 대장은?| 대장균
 엉덩이가 뚱뚱한 사람은?| 엉뚱한 사람
 땅바닥을 쿵 구르고 손바닥을 후 부는 운동은?| 쿵푸
 미남이란 어떤 사람인가?| 미련한 남자
 미녀란 어떤 사람인가?| 미련한 여자
 한국에서 제일 야한 영화 제목은?| 꽃을 든 남자(꼬출 든 남자)
 소나타는 누가 타는 자동차인가?| 소(소나 타는 자동차)
 처녀가 타서는 안 되는 차는?| 아벨라
 커피의 나라는 브라질이다. 그럼 밀크의 나라는?| 브라자
 닭이 길을 가다가 넘어지는 소리를 2자로 하면?| 닭 꽝! 세 자로 하면
 아편전쟁이란 무엇인가?| 아내와 남편의 부부싸움
 동방불패란 무엇인가?| 동사무소 방위는 불쌍해서 패지도 않는다.
 임전무퇴란 무슨 말인가?| 임산부 앞에서는 침을 뱉지 않는다.
 부가가치세란 무엇인가?| 부자와 가난한 자가 같이 내는 세금
 영세민이란 무엇인가?| 영리하고 세련된 민주시민
 남존여비란 무슨 말인가?| 남자가 존재하는 한 여자는 비참하다.
 비가 올 때 하는 욕은?| byc
 절대로 울면 안 되는 날은?| 중국집 쉬는 날(울면 – 메뉴)
 나폴레옹의 묘 이름은?| 불가능(능-陵)
 여자만 먹는 음식은?| 여탕
 여자만 갖는 권리는?| 여권(passport)
 여자만 사는 섬은?| 여의도
 여자들만 자는 곳은?| 여인숙
 여자들만 사는 곳은?| 여관
 개구리가 낙지를 먹어버리면 무엇이 될까?| 개구락지
 박사와 학사는 밥을 많이 먹는다는 사자성어는?| 박학다식(博學多食)
 ‘방자가 향단이를 사랑하는 마음’을 세 글자로 줄이면?|방향제 / 방향성
 파란색 Y셔츠와 양복을 입고 파란색 차에 치인 상황을 뭐라고 하나?| 파란만장 교통사고
 호랑이에게 덤벼드는 용감한 개 이름은?| 하룻강아지
 위대한 사람이란?| 밥을 많이 먹는 사람
지구가제일힘들었던시기는?|고생대
 서울에서 생산된 고기는? |살코기(지방이 없으니까)
 F는 좀 애매한 이유는?|F = ma니까
 me too와 비슷한 말은?|another(어 나도)
 메이저리그에서 던지는 공은?|해외직구
 이야기를 팔아서 돈 버는 사람은?|썰(Ssul)매장 주인
 할아버지를 영어로? |맨틀
 옷감을 울게 만드는 것은? |섬유유(ㅠㅠ)연제
 비빔밥 재료가 맨날 남는 이유는?|나물 음식이라서
 도서관에서 음료수를 원샷하는 이유는?|반입금지라서
 피카츄가 담배를 피기 전에 하는 말은?|피까
 모든 사람을 일어나게 하는 숫자는?|다섯
 호랑이(사자)가 항상 숙제를 안 하는 이유는?|밀림의 제왕이라서
 자동차를 톡하고 치면?|카톡
 다리미가 좋아하는 음식은?|피자
 제일 폭발하기 쉬운 나라는?|부탄
 뽑으면 우는 식물은?|우엉
 광부가 가장 많은 나라는?|케냐
 사람이 울면?|흑인
 시가 현실적이면?|시리얼
 소나무가 삐지면?|칫솔
 우유가 아프면?|앙팡
 등쳐먹고 사는 사람은?|안마사
 소가 불에 타면?|탄소
 오리가 얼면?|언덕
 가장 비싼 새는?|백조
 땅은 어떻게 울지?|흙흙
 수박 한 통에 1만 원인데 두통엔?|게보린
 맥주가 죽기 전에 남긴 말은?|유언비어
 세상에서 가장 가난한 왕은?|최저임금
 칼이 정색하면?|검정색
 가수 설운도가 옷을 벗는 순서가 어떻게 될까?|상하의
 항상 미안해하는 연예인은?|지성
 반성문을 영어로 하면?|글로벌
 세종대왕이 나온 고등학교는?|가갸거겨고교
 새우가 주인공인 드라마는?|대하드라마
 화장실에서 금방 나온 사람은?|일본사람
 회를 가장 잘 뜨는 곳은?|회전문
 소금의 유통기한은?|천일염
 왕이 궁에 가기 싫을 때 하는 말은?|궁시렁궁시렁
 아마존에 살고 있는 사람의 이름은?|아마 존?
 신발이 화가 나면?|신발 끈
 고등학생이 싫어하는 나무는?|야자나무
 세상에서 가장 억울한 도형은?|원통
 세상에서 가장 지루한 중학교?|로딩중
 서울이 추우면?|서울시립대
 정말 큰 학은?|대학
 가장 야한 가수는?|다비치
 어부들이 싫어하는 사람은?|배철수
 얼음이 죽으면?|다이빙
 이탈리아의 날씨?|습하겟디
 세상에서 가장 뜨거운 바다는?|열받아
 인천 앞바다의 반대는?|인천 엄마다
 누룽지를 영어로 하면?|바비브라운
 가는 말이 고우면 오는 말은?|Come
 높은 곳에서 애를 낳는 동물은?|하이에나
 딸기가 도망가면?|딸기잼
 길 가다가 음식을 주운 것을 3글자로?|푸드 득
 옥수수가 시험을 보는 것을 4글자로?|콘테스트
 칼로 산을 두 개로 자르면?|두산베어스
 낙엽이 애교를 부리면서 한 말?|나기엽?
 신부가 부케를 던지면서 하는 말|기다려 본캐로 온다
 병원에서 물리치료사가 하는 일은?|병을 물리치료구
 부처님이 먹고 있는 음식은?|전 부처 드심
 우유가 넘어지면?|아야
 보내기 싫으면?|가위나 바위를 낸다.
 세상에서 가장 놀라운 거품은?|언빌리버블
 옳지 못한 오리는?|부도덕
 모내기 기계가 고장이 나면?|심기 불편
 흑형의 여자친구는?|깜짝
 간첩이 동물원에 가면 찾는 새는?|공작새
 오래된 우유를 다른 말로?|연세우유
 은행 금고를 1원도 남기지 않고 털면?|클린턴
 모태솔로를 영어로 하면?|없데이트
 애플이 망한 이유는?|MAC(막) 만들어서
 돼지고기가 금값인 이유?|돼지가 '한 돈' 가격이라서
 연필로 잘못 썼을 때 피카츄로 지우면 되는 이유는?|지우 개니까
 아이언맨을 대체할 히어로가 없는 이유는?|iron 사람 또 없어서
 흑인이 도망갈 때 하는 말?|니거기서!
 해산물이 전부 '부패'하는 이유는?|생선은 전부 비리니까
 DJ DOC의 국적은?|나! 이란 사람이야~
 세종대왕이 자기소개를 하면?|난이도
 공기밥을 영어로 하면 뭐임?|윈드밀
 일본인이 에도시대로 시간 이동을 했는데 당황하면서 했던 말은?|에.. 도시때?(에.. 어째서?)
 어린이가 노인을 마구 때리면?|애틀란타
 닭이 사람을 물면?|인문계
 월요일에 낳은 자식은?|먼데 이새끼
 고추를 돌리면서 씻으면?|조지 워싱 턴
 옛날 성균관에서 불을 밝힐 때 쓰던 초는?|성균관's candle
 지니가 노란색이 되면?|황진이
 보신탕 집 가는 길은?|게이트웨이
 횟집 가면 이쁜 애들한테만 맛있는 것을 주는 이유는?|사심이 들어가서
 비실이를 총으로 쏘면?|탕비실
 도박중독자들이 물을 어떻게 마실까?|홀짝홀짝
 정의가 차가운 이유는?|그냥 얼음(just ice)이라서
 키가 작은 남자들한테 검은색 옷은 안 어울리는 이유?|검은색 옷은 다 크거든요
 탈옥을 가장 잘하는 아이돌은?|내가 jail 잘 나가
 탱글탱글한 피부를 만드는데 걸리는 시간은?|수 분
 폐하가 가장 높은 존재인 이유는?|더 높은 사람들은 폐위됐기 때문
 스타크래프트에서 제일 뜨거운 유닛은?|"고스트(고스트 대사 ""아임 고온"")"
 인도는 지금 몇 시일까?|인도네시아
 호랑이가 운전 중에 토끼를 보고 한 말은?|타이거
 물고기를 가장 잘 낚는 일본인은?|다나까
 개와 오랑우탄이 교배해서 낳은 것은?|오랑캐
 병신들만 사는 나라는?|네팔
 송해가 샤워를 하고 나면?|뽀송뽀송해
 세상에서 가장 빠른 닭은?|후다닥
 쥐가 네 마리 모이면 무엇이 될까?|쥐포
 여자는 무드에 약하다|누드
 오른손으로는 들어도 왼손으로는 들지 못하는 것은?|왼손
 가장 뜨거운 전화는?|화상전화
 포도가 자기소개하면?|포도당
 뱀에 불이 붙으면?|뱀파이어
 푸른 소가 용을 구하면?|청소 용구함
 어린 물고기는?|영어
 과소비가 심한 동물은?|사자
 마녀가 높이 올라가면?|위치 에너지가 증가함
 사슴의 눈이 좋으면?|굿 아이디어
 미국이 싫으면?|아메리카노
 형을 정말 좋아하는 동생은?|형광팬
 날마다 새로운 욕을 만들어 내는 도시는?|뉴욕
 스타들이 싸우는 모습을 뭐라고 할까?|스타워즈
